0;0;[0.298592, 0.0559268, 0.00182193, 3.0518e-06, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.5259e-06, 0.00133097, 0.0559784, 0.275311];[0.193936, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.19211e-08, 0.0911829]
0;1;[0.303909, 0.061651, 0.00250553, 2.67033e-06, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 3.0518e-06, 0.00197528, 0.0602299, 0.274711];[0.193936, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.19211e-08, 0.105132]
0;2;[0.295629, 0.0608609, 0.00155451, 3.81476e-07, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 2.67033e-06, 0.00225032, 0.062966, 0.292567];[0.193936, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.19211e-08, 0.111424]
0;3;[0.29241, 0.052376, 0.000564584, 1.90738e-07, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 3.81476e-06, 0.00234226, 0.0619494, 0.297238];[0.195417, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.19211e-08, 0.0821817]
1;0;[0.293721, 0.0415937, 0.000926604, 1.5259e-06, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.43053e-07, 0.000484474, 0.0402026, 0.273199];[0.195417, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.19211e-08, 0.0778695]
1;1;[0.306697, 0.048767, 0.00127756, 1.33516e-06, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.72213e-07, 0.00075227, 0.0438138, 0.26841];[0.195417, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.19211e-08, 0.0871476]
1;2;[0.300674, 0.0506249, 0.00110361, 2.38422e-07, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.72213e-07, 0.00109293, 0.045436, 0.278446];[0.19692, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.19211e-08, 0.0940298]
1;3;[0.29351, 0.0439408, 0.000448997, 9.53689e-08, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 2.47959e-06, 0.00113489, 0.0455839, 0.295256];[0.195417, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.19211e-08, 0.0968765]
2;0;[0.284144, 0.0237343, 0.000167468, 2.86107e-07, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 3.89105e-05, 0.0159625, 0.265539];[0.193936, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.19211e-08, 0.0561087]
2;1;[0.306296, 0.0293953, 0.00035172, 2.1458e-07, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.19211e-08, 7.36248e-05, 0.0173907, 0.254012];[0.193936, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 5.96056e-09, 1.19211e-08, 0.0696114]
